stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
YONGTAI,YONG TAI BHD,7066,PROPERTY,PROPERTY,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
YONGTAI-PA,,7066PA,PROPERTY,PROPERTY,Main Market,<span class='down fw-bold'>-0.01</span>,Bursa
YSPSAH,Y.S.P.SOUTHEAST ASIA HOLDING,7178,PHARMACEUTICALS,HEALTH CARE,Main Market,<span class='up fw-bold'>+0.06</span>,Bursa
YTL,YTL CORPORATION BHD,4677,"GAS, WATER & MULTI-UTILITIES",UTILITIES,Main Market,<span class='down fw-bold'>-0.08</span>,Bursa
YTLPOWR,YTL POWER INTERNATIONAL BHD,6742,"GAS, WATER & MULTI-UTILITIES",UTILITIES,Main Market,<span class='down fw-bold'>-0.18</span>,Bursa
YTLREIT,YTL HOSPITALITY REIT,5109,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='up fw-bold'>+0.02</span>,Bursa
YXPM,YX PRECIOUS METALS BHD,0250,PERSONAL GOODS,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
ZANTAT,ZANTAT HOLDINGS BERHAD,0301,CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='down fw-bold'>-0.005</span>,Bursa
ZECON,ZECON BHD,7028,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ZELAN,ZELAN BHD,2283,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ZENTECH,ZEN TECH INTERNATIONAL BERHAD,0094,SOFTWARE,TECHNOLOGY,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ZHULIAN,ZHULIAN CORPORATION BHD,5131,CONSUMER SERVICES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ZWORLD,ZENWORLD HOLDINGS BERHAD,03010,TELECOMMUNICATIONS SERVICE PROVIDERS,TELECOMMUNICATIONS & MEDIA,LEAP Market,<span class='up fw-bold'>+0.03</span>,Bursa
