stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
ANTA 5xLongUB250430,,QTTW,,,Mainboard,<span class='up fw-bold'>+0.002</span>,SGX
ANTA 5xShortSG231019,,DXGW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA 5xShortUB250430,,OMYW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA MBeCW241203,,USKW,,,Mainboard,<span class='up fw-bold'>+0.015</span>,SGX
ANTA MBePW241203,,WJBW,,,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
AOT TH SDR,,TATD,,Transportation and Storage,Global Quote,<span class='up fw-bold'>+0.04</span>,SGX
AP Oil,AP Oil International Ltd,5AU,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AP Strat W230130,,1H7W,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AP Strat W230726,,FIAW,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AP Strategic,Asia-Pacific Strategic Investments Ltd,5RA,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
APAC Realty,APAC Realty Ltd,CLN,,Real Estate Activities,Mainboard,<span class='down fw-bold'>-0.005</span>,SGX
ARA HTrust USD,ARA US Hospitality Trust,XZL,,Real Estate Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ARA LOGOS Log Tr,,K2LU,,Real Estate Activities,Mainboard,<span class='up fw-bold'></span>,SGX
AREIT 5xLongSG221208,,DXAW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AREIT 5xLongSG230404,,DQAW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AREIT 5xShortSG221208,,DGBW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AREIT 5xShortSG231214,,DGEW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ASL M W240723^,,WG2W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ASL Marine,ASL Marine Holdings Ltd,A04,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ASTI,ASTI Holdings Ltd,575,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AVJennings A$,,A05,,Real Estate Activities,Global Quote,<span class='up fw-bold'>0.00</span>,SGX
Abterra,Abterra Ltd,L5I,,Financial and Insurance Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Abundance Intl,Abundance International Ltd,541,,Wholesale and Retail Trade,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Abundante,Abundante Ltd,570,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Accrelist Ltd,Accrelist Ltd,QZG,,Wholesale and Retail Trade,Catalist,<span class='up fw-bold'>+0.001</span>,SGX
Ace Achieve Info,,A75,,Information and Communications,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Acesian Partners,Acesian Partners Ltd,5FW,,Construction,Catalist,<span class='down fw-bold'>-0.004</span>,SGX
Acma,ACMA Ltd,AYV,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AcroMeta,AcroMeta Group Ltd,43F,,Health and Social Services,Catalist,<span class='down fw-bold'>-0.001</span>,SGX
AcroMeta R,,FLWR,,Health and Social Services,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Addvalue 6%271104XB#,,MYLB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Addvalue Tech,Addvalue Technologies Ltd,A31,,Information and Communications,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
